Timestamps,R715,R619,B113s,Date
2018-04-14 0:54,0,0.17,0.08,2018-04-14
2018-04-14 1:54,3.64,6.04,1.93,2018/04/14
2018-04-14 2:54,5.53,8.76,2.9,2018/04/14
2018-04-14 3:54,7.3,11.46,3.87,2018/04/14
2018-04-14 4:54,9.13,14.86,4.85,2018/04/14
2018-04-14 5:54,10.98,17.63,5.82,2018/04/14
2018-04-14 6:54,12.57,20.36,6.79,2018/04/14
2018-04-14 7:54,14.39,23.39,7.76,2018/04/14
2018-04-14 8:54,15.93,26.55,8.72,2018/04/14
2018-04-14 9:54,18.54,29.3,9.71,2018/04/14
2018-04-14 10:54,20.46,32.12,10.98,2018/04/14
2018-04-14 11:54,22.46,36.4,12.06,2018/04/14
2018-04-14 12:54,24.62,41.01,13.21,2018/04/14
2018-04-14 13:54,26.25,44.13,14.5,2018/04/14
2018-04-14 14:54,29.03,48.62,15.78,2018/04/14
2018-04-14 15:54,31.39,53.06,17.08,2018/04/14
2018-04-14 16:54,33.35,56.15,18.36,2018/04/14
2018-04-14 17:54,35.36,58.15,19.63,2018/04/14
2018-04-14 18:54,37.3,60.87,20.9,2018/04/14
2018-04-14 19:54,38.93,64.08,22.17,2018/04/14
2018-04-14 20:54,41.14,67.08,23.44,2018/04/14
2018-04-14 21:54,42.44,70.52,24.72,2018/04/14
2018-04-14 22:54,44.41,72.97,26,2018/04/14
2018-04-14 23:54,0,0,0,2018/04/14
2018-04-15 0:24,0.87,0.67,0.42,2018/04/15
2018-04-15 0:54,0.87,0.67,0.42,2018/04/15
2018-04-15 1:54,2.66,3.29,1.71,2018/04/15
2018-04-15 2:54,5.09,7.97,3.85,2018/04/15
2018-04-15 3:54,6.52,10.95,5.14,2018/04/15
2018-04-15 4:54,8.15,13.55,6.43,2018/04/15
2018-04-15 5:54,9.64,16.2,7.72,2018/04/15
2018-04-15 6:54,11.01,19.33,9,2018/04/15
2018-04-15 7:54,12.11,22.09,10.28,2018/04/15
2018-04-15 8:54,13.71,24.68,11.56,2018/04/15
2018-04-15 9:54,15.29,27.26,12.84,2018/04/15
2018-04-15 10:54,16.38,29.86,14.11,2018/04/15
2018-04-15 11:54,17.9,33.71,15.38,2018/04/15
2018-04-15 12:54,19.07,37.62,16.65,2018/04/15
2018-04-15 13:54,20.4,41.32,17.92,2018/04/15
2018-04-15 14:54,21.66,44.23,19.19,2018/04/15
2018-04-15 15:54,22.75,47.44,20.47,2018/04/15
2018-04-15 16:54,24.26,50.69,21.74,2018/04/15
2018-04-15 17:54,25.39,53.72,23.01,2018/04/15
2018-04-15 18:54,26.86,56.75,24.28,2018/04/15
2018-04-15 19:54,27.91,60.11,25.55,2018/04/15
2018-04-15 20:54,29.36,63.31,26.83,2018/04/15
2018-04-15 21:54,30.36,66.36,28.1,2018/04/15
2018-04-15 22:54,31.53,69.17,29.17,2018/04/15
2018-04-15 23:08,31.53,69.17,29.17,2018/04/15
2018-04-15 23:54,---,0,0,2018/04/15
2018-04-16 0:54,0.38,1.19,0.42,2018/04/16
2018-04-16 1:54,1.51,3.75,1.71,2018/04/16
2018-04-16 2:57,2.56,6.28,2.99,2018/04/16
2018-04-16 3:54,3.75,8.81,4.28,2018/04/16
2018-04-16 4:40,4.79,11.77,5.57,2018/04/16
2018-04-16 4:54,4.79,11.77,5.57,2018/04/16
2018-04-16 5:54,5.93,14.28,6.86,2018/04/16
2018-04-16 6:54,7.83,19.07,9,2018/04/16
2018-04-16 7:54,8.84,22,10.28,2018/04/16
2018-04-16 8:54,9.99,24.5,11.54,2018/04/16
2018-04-16 9:54,11,27.42,12.81,2018/04/16
2018-04-16 10:54,12.08,30.03,14.3,2018/04/16
2018-04-16 11:54,13.28,33.35,15.61,2018/04/16
2018-04-16 12:54,14.55,37.1,16.89,2018/04/16
2018-04-16 13:54,15.58,40.93,18.05,2018/04/16
2018-04-16 14:54,17.21,44.82,19.31,2018/04/16
2018-04-16 15:54,18.34,48,20.77,2018/04/16
2018-04-16 16:54,19.79,51.22,22.16,2018/04/16
2018-04-16 17:54,20.87,54.61,23.53,2018/04/16
2018-04-16 18:54,21.97,57.87,24.91,2018/04/16
2018-04-16 19:54,23,61.16,26.08,2018/04/16
2018-04-16 20:54,24.04,64.11,27.24,2018/04/16
2018-04-16 21:54,25.16,66.96,28.41,2018/04/16
2018-04-16 22:54,26.25,69.83,29.58,2018/04/16
2018-04-16 23:54,---,0,0,2018/04/16
2018-04-17 0:54,0.96,2.9,1.17,2018/04/17
2018-04-17 1:54,1.81,5.57,2.35,2018/04/17
2018-04-17 2:54,2.87,8.38,3.52,2018/04/17
2018-04-17 3:54,3.9,11.2,4.69,2018/04/17
2018-04-17 4:54,5.01,14.03,5.86,2018/04/17
2018-04-17 5:54,5.77,16.86,7.03,2018/04/17
2018-04-17 6:54,6.87,19.68,8.2,2018/04/17
2018-04-17 7:54,7.85,22.51,9.36,2018/04/17
2018-04-17 8:54,9,25.34,10.52,2018/04/17
2018-04-17 9:54,9.77,28.35,11.68,2018/04/17
2018-04-17 10:54,10.81,31.73,12.84,2018/04/17
2018-04-17 11:54,11.84,35.3,14,2018/04/17
2018-04-17 12:54,13.11,38.74,15.16,2018/04/17
